off topic,in_atlas,groupname,title,keywords,topics,date,originator,publisher,links,Still Public?,Dataset Email,Group,Agency
x,t,Census 2000 Data,Census 2000 tabular digital data (cen00yrb03_1),human environment census districts people,Land use Planning & Development Society Boundaries Population Demographics Planning & Cadastre,1/1/2010,,CDF-FRAP,https://projects.atlas.ca.gov/frs/download.php/773/cen00yrb03_1.dbf ,TRUE,#N/A,#N/A,#N/A
x,t,Census 2000 Data,Census 2000 Urbanized Areas (CEN00UA02_2),urbanization development urban census,Land cover Society Planning & Development,1/1/2010,,California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/775/cen00ua02.zip ,TRUE,#N/A,#N/A,#N/A
,f,Center for Ecological Health Research,BBiomarkers of Exposure and Deleterious Effect: A Laboratory and Field Investigation,pesticides aquatic biology enzymes embryology cellular diazinon aquatic resources aquatic toxicology anatomy metals histopathology stress proteins oryzias latipes fish asian clam,Biota,1/1/2010,David Hinton,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Biomarkers of Ozone Damage to Sierra Nevada Vegetation,ozone biochemical indicators phytoalexins forest ecology pinus ponderosa inlandwaters tree rings nonpoint source pollution forests nontimber forest resources,Biota Environment,1/1/2010,Teresa Fan,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Bird and Mammal Reproduction in a Terrestrial Aquatic Interface,agricultural ecology animal behavior estrogen fecundity fertility hormones life cycles (biology) reproduction reproductive potential wildlife resources,Wildlife Biota,1/1/2010,Bill Lasley,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Chemistry of Bioavailability in Sediments and Water Column,aquatic resources bays bioavailability biochemistry desferrioxamine geoscientificinformation humic inlandwaters ligands microorganisms nonpoint source pollution,Environment Soils Water quality,1/1/2010,Richard Higashi,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Cumulative and Integrative Biochemical Indicators,biochemistry cellular conifers diseases droughts ecotoxic environmental sciences forest ecology forest management forest resources geoscientificinformation metals nonpoint source pollution oceans ozone selenium tree rings wood,Soils Biota Environment Health,1/1/2010,Richard Higashi,,http://ice.ucdavis.edu ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Endocrine Disruption in Fish and Birds,animal ecology birds bridges endocrine distruption farms inlandwaters irrigation water land methoxychlor natural environment octylphenol pesticides reproductive behavior,Pollution Farming Environment Wildlife Biota Water quality,1/1/2010,D. Michael Fry,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Fish Developmental Toxicity/Recruitment,medaka embryology diazinon inlandwaters fish anadromous fishes aquatic resources aquatic habitats aquatic biology salinity pesticides oryzias latipes temperature aquatic animals,Biota Fisheries Water quality Rivers,1/1/2010,David Hinton,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Identification and distribution of pest complexes in relation to late seral/old growth forest structure in the Lake Tahoe watershed,arceuthobium spp. insects forests tree mortality pathogens cronartium ribicola old growth,Biota,1/1/2010,David Rizzo,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Immunoassays and Serum Markers,agricultural ecology lipid diols biomarkers food chains (ecology) epoxides immunoassay irrigation water hepatic tissue pesticides serum esterase plants vertebrate,Farming Biota,1/1/2010,Bruce Hammock,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Mercury and Iron Biogeochemistry,sediments mehg sulfur iron methylmercury algal blooms phosphorus inlandwaters acid mine,Lakes,1/1/2010,Tom Suchanek,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Microbiology of Mercury Methylation in Sediments,acid mine bacteria inlandwaters mercury methylmercury microorganisms sediments sulfate,Lakes,1/1/2010,Douglas Nelson,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Modeling Ecosystems Under Combined Stress,algae ecosystem management endangered species food chains (ecology) geoscientificinformation inlandwaters morone saxatilis oncorhynchus tshawytscha resource management river engineering simulations,Hydrology Rivers Modeling Water quality Fisheries Biota,1/1/2010,Gerald Orlob,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Modeling Transport in Aquatic Systems,hydrographic models inlandwaters nonpoint source pollution sediments transport,Vegetation Environment Geochemistry Geology Rivers Watershed Lakes,1/1/2010,Jeffrey Mount,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,"Molecular, Cellular and Animal Biomarkers of Exposure and Effect",agricultural ecology animal behavior birds cellular diazinon ecosystem management farms fish habitat disturbance inlandwaters irrigation water life cycles (biology) pesticides pyrethroid esfenvalerate transport watersheds,Agriculture Biota Society Environment Farming,1/1/2010,Barry Wilson,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Pesticide Transport in Subsurface and Surface Water Systems,aquatic resources diazinon drinking water farms geophysics geoscientificinformation inlandwaters nonpoint source pollution organophosphate pesticides,Environment Soils Rivers Hydrology Society Groundwater Water quality Agriculture Farming,1/1/2010,Miguel Marino,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Pre-contact Forest Structure,forest resources forests old growth plant communities,Biota,1/1/2010,Michael Barbour,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Regional Hydrogeology and Contaminant Transport in a Sierra Nevada Ecosystem,water budget evaporation geoscientificinformation,Hydrology Groundwater Geology,1/1/2010,Graham Fogg,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Regional Hydrologic Modeling With Emphasis on Watershed-Scale Environmental Stresses,aquatic resources clear lake atmospheric lake tahoe sediment load inlandwaters climatologymeteorologyatmosphere geoscientificinformation evapotranspiration,Hydrology Rivers Erosion,1/1/2010,Lev Kavvas,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Regional Movement of Toxics,climatologymeteorologyatmosphere polychlorinated biphenyls pcbs inlandwaters hyla regilla amphibians bioaccumulation atmospheric deposition endangered species biodiversity organochlorines rana pipiens rana muscosa,Lakes,1/1/2010,Fumio Matsumura,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Resolving Multiple Stressors by Biochemical Indicator Patterns and their Linkages to Adverse Effects on Benthic Invertebrate Patterns,aquatic biology asian clam benthic organisms biochemistry cadmium estuaries inlandwaters pesticides risk management selenium,Rivers Biota Water quality,1/1/2010,Teresa Fan,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Role of Hydrogeologic Processes in Alpine Ecosystem Health,geoscientificinformation inlandwaters mtbe recreation areas water use,Groundwater Hydrology Society Boundaries Geology,1/1/2010,Graham Fogg,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Spatial and Temporal Trends in Water Quality,algal blooms aquatic resources bays benthic organisms biodiversity estuaries fish inlandwaters paleobotany phytoplankton restoration river inflow water resources development water use,Water quality Biota,1/1/2010,Alan Jassby,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Spatial Patterns and Biodiversity,adaptation (biology) amphibians animal ecology animals applied ecology biodiversity biotic communities conservation biology ecological communities ecosystem management endemic animals endemic plants environmental database design environmental sciences extinction (biology) fish geography gis imagerybasemapsearthcover inlandwaters mapping non-point source population biology spatial patterns special status species wildlife resources,Environment Society Biota Ecology Water quality Elevation,1/1/2010,James Quinn,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Stress of Increased Sediment Loading on Lake and Stream Function,watersheds geoscientificinformation inlandwaters non-point source phosphorus sediment load sediments,Environment Rivers Erosion Lakes Watershed,1/1/2010,Charles Goldman,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Subalpine Marsh Plant Communities as Early Indicators of Ecosystem Stress,macrophytes inlandwaters nitrogen marshes sediments restoration nutrient cycles phosphorus,Farming Biota Wetland ecology Water quality,1/1/2010,Eliska Rejmankova,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,The History of Anthropogenic Effects,watersheds sediment cores inlandwaters mercury mining,Environment,1/1/2010,Pete Richerson,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,The Role of Fishes as Transporters of Mercury,physiology orthodon microlepidotus inlandwaters water resources sand and gravel mines and mining aquatic resources aquatic biology aquatic animals animal behavior ichthyology mehg conservation of natural resources eutrophic lake methylmercury,Environment Pollution Natural Resources Fisheries Boating Water quality Biota Lakes,1/1/2010,Joseph Cech,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Time Series Analysis and Modeling Ecological Risk,populations wildlife resources inlandwaters conservation biology aquatic habitats population biology aquatic biology anadromous fishes,Environment Society Biota Water quality,1/1/2010,Louis Botsford,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Water Motions and Material Transport,inlandwaters science wind field winds,Lakes,1/1/2010,Geoff Schladow,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,Wetlands Restoration,inlandwaters macrophytes marshes nitrogen nutrient cycles phosphorus plants restoration sediments wetlands,Lakes Biota Farming Water quality Wetland ecology,1/1/2010,Eliska Rejmankova,,http://ice.ucdavis.edu/cehr ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,f,Center for Ecological Health Research,WWW/Outreach,computer science data management environmental planning environmental sciences gis information technology www,Environment,1/1/2010,Michael McCoy,,http://ice.ucdavis.edu ,TRUE,csmith@ucdavis.edu,Center for Ecological Health Research,University of California
,t,Central Valley Land Cover,cv-landcov,landcover change detection landuse,Land use Vegetation Planning & Cadastre Land cover Planning & Development Imagery Biota Base Maps Habitat,1/1/2010,,California Natural Resources Agency,http://projects.atlas.ca.gov/frs/download.php/1543/CVHM_Landcover2000-2005.zip http://projects.atlas.ca.gov/frs/download.php/3868/simpson_rural_res_ecog.zip ,TRUE,,Central Valley Land Cover,
,f,CERES Contribute Help,CERES Clearinghouse Overview,library catalog ceres ceic,Environment,3/9/2012,,California Natural Resources Agency,,TRUE,,CERES Contribute Help,
,t,CERES Geopicker,geopicker,geo locate science and technology tools,Geoscientific Utilities & Communication,12/6/2010,California Natural Resources Agency,California Environmental Resources Evaluation System,http://projects.atlas.ca.gov/frs/download.php/2548/geoPicker.zip ,TRUE,,CERES Geopicker,California Environmental Resources Evaluation System
,f,CERES Selected Resources,California Wetlands USFW,Riparian Data,Inland Waters Ecology Biota Wetland,9/10/2013,,US Fish and Wildlife,http://www.fws.gov/wetlands/Downloads/State/CA_wetlands.zip http://www.fws.gov/wetlands/Downloads/State/CA_shapefile_wetlands.zip ,TRUE,rakunkel@gmail.com,CERES Selected Resources,
"x, not migrated",f,Channel Island Regional GIS Catalog,AdministrativeAreas,city municipal political,Boundaries,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
"x, not migrated",f,Channel Island Regional GIS Catalog,CenterLine,geocode road route street,,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
"x, not migrated",f,Channel Island Regional GIS Catalog,RailRoad,rail railway tracks,Railroad Transportation,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
"x, not migrated",f,Channel Island Regional GIS Catalog,SiteAddress,address geocode location municipal,,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
"x, not migrated",f,Channel Island Regional GIS Catalog,Zoning,planningcadastre,Land use Zoning,1/1/2010,Chris Ronneberg,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
,f,Channel Island Regional GIS Catalog,CriticalFacilities,civic center fema fire stations,Transportation Airports Hospitals Schools,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
,f,Channel Island Regional GIS Catalog,Definition of Channel Islands Region,gas pipelines oil pipelines oil production facilities utilitiescommunications,Boundaries Administrative boundaries,1/1/2010,CERES,,http://www.cirgis.org ,TRUE,#N/A,#N/A,#N/A
,f,Channel Island Regional GIS Catalog,Parcels,parcel pid planningcadastre,,1/1/2010,CIRGIS,,http://www.cirgis.org ,TRUE,greg.bazhaw@pln.co.scl.ca.us,Santa Clara County Catalog,Santa Clara County
,f,Climate Change Data,2007-2009 Drought Timeline,drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/timeline-present.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Agriculture, Water and CA's Drought of 1987-92 (1994)",drought,Farming Climate change Agriculture Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/1_drought-1987-92.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,CALIFORNIA DROUGHT AN UPDATE 2008,drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/DroughtReport2008.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,California Drought Contingency Plan 2010,drought  DCP,Climate change Planning & Cadastre Planning & Development Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/Final_CA_Drought_Contingency_Plan-11-18-2010a.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,California's 1987-92 Drought (1993),drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/2_drought-1987-92.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Californiaâs Drought of 2007â2009  SEPTEMBER 2010 AN OVERVIEW,drought,Climate change Water quality Environment Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/DroughtReport2010.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Californiaâs Drought: Water Conditions & Strategies to Reduce Impacts (March 2009),drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/news/newsreleases/2009/040209droughtrpt-gov.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"CA's Continuing Drought, Jan 1991 (1991)",drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/3_jan-1991.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Critical Water Shortage Contingency Plan, Governor's Advisory Drought Planning Panel",drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/Contingency_Plan-text.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Drought Conditions in California (1990),drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/4_drought_conditions.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Drought Contingency Planning Guidelines for 1989 (1989),drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/5_planning_guidelines-1989.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Drought Financial Assistance Programs 1989 (1989),drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/6_financial-1989.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Forecast Map,wxmap,Weather Atmosphere & Climate Precipitation,9/24/2013,,National Weather Service  NOAA,http://gis.srh.noaa.gov/arcgis/rest/services/wxmap/MapServer,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Preparing for California's Next Drought, Changes Since 1987-92",drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/Drought_Report_87-92.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Special Report on Dry Year Impacts in CA, 2-1-1976 (1976)",drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/8_special_report-1976.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The 1976-77 CA Drought - A Review (1978),drought,Atmosphere & Climate Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/9_drought-1976-77.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The 1991 Drought Water Bank (1991),water bank drought,Atmosphere & Climate Utilities & Communication Water distribution Inland Waters Hydrology Climate change,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/10_1991-water_bank.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The California Drought-1976 (1976),drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/11_drought-1976.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The California Drought 1977 (1977),drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/12_drought-1977.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The Continuing California Drought (1977),drought,Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/13_drought_continuing.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,The Hydrology of the 1987-1992 California Drought (1992),drought,Hydrology Inland Waters Climate change Atmosphere & Climate,9/24/2013,,California Department of Water Resources,http://www.water.ca.gov/waterconditions/drought/docs/hydrology_drought-1987-1992.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Precipitation History (minutes),RIDGE radar,Atmospheric conditions Precipitation Atmosphere & Climate Weather,10/1/2013,,California Environmental Resources Evaluation System (CERES) National Weather Service,http://atlas.resources.ca.gov/ArcGIS/rest/services/Atmosphere_Climate/RIDGE-345min/MapServer,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Gridded Meteorological Data: 1949-2010,meteorological daily precipitation  humidity    wind speed  temperature,Climate change Precipitation Atmosphere & Climate,10/3/2013,,Santa Clara University,http://hydro.engr.scu.edu/files/gridded_obs/daily/ascii/cali_daily_met.tgz http://hydro.engr.scu.edu/files/gridded_obs/monthly/ascii/cali_monthly_met.tgz ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Bluff erosion hazard with a 1.4 meter sea-level rise, 2100",coastal flood Base Flood Elevation  sea level rise  bluff erosion  bluff 100 year flood 100 year coastal flood,Oceans & Estuaries Atmosphere & Climate Geoscientific Coastal information Inland Waters Erosion Climate change Floods,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Bluff_hz_yr2100.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"California coast 100 year flood, 2000",100 year flood 100 year coastal flood,Climate change Floods Oceans & Estuaries Atmosphere & Climate Inland Waters Coastal information,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Ca_coast_yr2000_flood.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"California coast 100 year flood with a 1.4 meter sea-level rise, 2100",100 year flood  sea level rise 100 year coastal flood,Atmosphere & Climate Floods Climate change Inland Waters,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Ca_coast_yr2100_flood.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Coastal Base Flood Elevation,100 year coastal flood  sea level rise,Floods Climate change Coastal information Elevation Inland Waters Atmosphere & Climate Oceans & Estuaries,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Coastal_BFE.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Coastal Base Flood Elevations, Flood Insurance Studies",100 year coastal flood  Flood Insurance  100 year flood,Floods Climate change Coastal information Inland Waters Atmosphere & Climate Oceans & Estuaries,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/FIS_flood_elev.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Coastal Base Flood Elevations, Ott Water Study",100 year flood 100 year coastal flood  Ott,Climate change Inland Waters Coastal information Oceans & Estuaries Atmosphere & Climate Floods,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Ott_water_flood_elev.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Northern California Base Flood Elevations,100 year coastal flood  100 year flood,Coastal information Inland Waters Oceans & Estuaries Atmosphere & Climate Floods Climate change,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/bfe_rasters.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,San Francisco High Tide Elevations,high tide,Atmosphere & Climate Oceans & Estuaries Elevation Tides,10/8/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/sf_flood_elev.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,THE IMPACTS OF SEA-LEVEL RISE ON  THE CALIFORNIA COAST,Â climateÂ change Â coastalÂ impacts Â seaâlevelÂ rise Â SanÂ FranciscoÂ Bay Â California Â climateÂ adaptation Â flood Â  erosion Â climateÂ impacts Â levees Â greenhouseÂ effectÂ  Â seawalls,Climate change Coastal information Oceans & Estuaries Atmosphere & Climate,10/8/2013,,Pacific Institute,http://www.pacinst.org/wp-content/uploads/2013/02/report16.pdf ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,2100 Mean Higher High Water minus 2000 MHHW,Mean Higher High Water climate change 100 year flood sea level rise oceans and coastal 100 year coastal flood coastal flood MHHW inundation,Oceans & Estuaries Atmosphere & Climate Inland Waters Coastal information Climate change Floods,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/mhhw_2100_minus_2000.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Area Inundated by Mean Higher High Water, 2000",100 year flood oceans and coastal 100 year coastal flood coastal flood sea level rise climate change Mean Higher High Water MHHW inundation,Floods Oceans & Estuaries Atmosphere & Climate Coastal information Inland Waters Climate change,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/mhhw_2000_shp.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Area Inundated by Mean Higher High Water, 2100",coastal flood climate change sea level rise oceans and coastal 100 year coastal flood 100 year flood Mean Higher High Water inundation MHHW,Oceans & Estuaries Atmosphere & Climate Floods Climate change Coastal information Inland Waters,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/mhhw_2100_shp.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,California Tide Stations,sea level rise  100 year flood  100 year coastal flood  tide stations,Oceans & Estuaries Atmosphere & Climate Floods Tides Climate change Coastal information Inland Waters,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/CA_Tide_stations.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Coastal Wetlands,sea level rise  100 year coastal flood  100 year flood  coastal flood,Climate change Wetland Floods Atmosphere & Climate Oceans & Estuaries Coastal information Inland Waters,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Coastal_wetlands.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Dune erosion hazard with a 1.4 meter sea level rise, 2100",Bluff Bluff erosion  sea level rise   Base Flood Elevation 100 year coastal flood,Floods Climate change Erosion Inland Waters Coastal information Atmosphere & Climate Geoscientific Oceans & Estuaries,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Dune_hz_yr2100.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Erosion hazard with a 1.4 meter sea-level rise, 2100",  100 year coastal flood  sea level rise  Base Flood Elevation  Bluff erosion  coastal flood,Floods Climate change Erosion Inland Waters Coastal information Geoscientific Atmosphere & Climate Oceans & Estuaries,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/Erosion_hz_yr2100.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,Landcover in Potential Wetland Migration Area,100 year coastal flood coastal flood sea level rise climate change oceans and coastal 100 year flood Mean Higher High Water inundation MHHW Land cover,Land cover Atmosphere & Climate Oceans & Estuaries Wetland Land cover Floods Climate change Imagery-Base Maps-Land Cover Inland Waters Coastal information,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/wetland_migration_LC.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
,f,Climate Change Data,"Mean Higher High Water Surface, 2000",100 year coastal flood coastal flood oceans and coastal sea level rise climate change 100 year flood Mean Higher High Water MHHW,Coastal information Inland Waters Atmosphere & Climate Oceans & Estuaries Floods Climate change,10/10/2013,,Pacific Institute,http://www.pacinst.org/reports/sea_level_rise/files/mhhw_2000.zip ,TRUE,monica.downs@resources.ca.gov,Climate Change Data,
